TF,Targets
ATF1,MBD3
ATF1,SLC46A3
ATF1,TMUB1
ATF1,SKP2
ATF1,PPP4R3A
ATF1,CCT2
ATF1,ELOF1
ATF1,MYO9B
ATF1,PSMD6
ATF1,NCL
ATF1,ELP4
ATF1,C15orf61
ATF1,PRPF40A
ATF1,FAM98B
ATF1,TMEM87A
ATF1,SPDL1
ATF1,CPNE1
ATF1,N4BP1
ATF1,IKBKB
ATF1,POC1B
ATF1,ZHX1
ATF1,RPS27
ATF1,INO80D
ATF1,TSG101
ATF1,PRNP
ATF1,DDX18
ATF1,NUDC
ATF1,RSL1D1
ATF1,NR2C2
ATF1,WDR77
ATF1,COPB2
ATF1,ANXA7
ATF1,RRP1
ATF1,USP19
ATF1,ZNF891
ATF1,IFT20
ATF1,IER2
ATF1,RBM15
ATF1,MAP3K7
ATF1,DNAJC14
ATF1,EXOSC7
ATF1,ANKHD1
ATF1,ARID2
ATF1,FDFT1
ATF1,SNF8
ATF1,UBE2J2
ATF1,VPS41
ATF1,SRFBP1
ATF1,PAM
ATF1,TMEM94
ATF1,CLIP4
ATF1,PDCD11
ATF1,EIF2AK4
ATF1,TDRD7
ATF1,METTL13
ATF1,SMS
ATF1,DGKD
ATF1,THADA
ATF1,EBF1
ATF1,LINC00487
ATF1,SIN3A
ATF1,ILF3
ATF1,LRRC37B
ATF1,NKIRAS1
ATF1,GPR160
ATF1,TAF2
ATF1,ACTA2
ATF1,KLHL7
ATF1,TCOF1
ATF1,TM2D3
ATF1,USP38
ATF1,AP2A2
ATF1,VAC14
ATF1,STAU1
ATF1,HGH1
ATF1,SRSF2
ATF1,TNFRSF1B
ATF1,PNN
ATF1,CCDC174
ATF1,MRPS26
ATF1,PSMG4
ATF1,MRPS33
ATF1,CBX1
ATF1,RAN
ATF1,IFT80
ATF1,RCOR1
ATF1,NDUFS3
ATF1,RFX7
ATF1,SZRD1
ATF1,SLC4A7
ATF1,FAS
ATF1,FBXO43
ATF1,PSPH
ATF1,GCC2
ATF1,RAD23A
ATF1,YTHDC2
ATF1,NPW
