geneset genes
DZ_vitora_genes WASF3
DZ_vitora_genes KIF20A
DZ_vitora_genes PLK4
DZ_vitora_genes GPSM2
DZ_vitora_genes KMT2A
DZ_vitora_genes KIF18B
DZ_vitora_genes KIF4A
DZ_vitora_genes GCSAM
DZ_vitora_genes EIF2AK3-DT
DZ_vitora_genes KIF23
DZ_vitora_genes TACC3
DZ_vitora_genes CDCA2
DZ_vitora_genes ATAD2
DZ_vitora_genes BACH2
DZ_vitora_genes TUBB4B
DZ_vitora_genes AURKA
DZ_vitora_genes CDC25B
DZ_vitora_genes TROAP
DZ_vitora_genes SUGCT
DZ_vitora_genes KIF11
DZ_vitora_genes SPA17
DZ_vitora_genes CENPA
DZ_vitora_genes ATP6V1G3
DZ_vitora_genes CXCR4
DZ_vitora_genes BRD8
DZ_vitora_genes ESPL1
DZ_vitora_genes PGBD5
DZ_vitora_genes CENPF
DZ_vitora_genes ANKRD36BP2
DZ_vitora_genes CCNF
DZ_vitora_genes REXO5
DZ_vitora_genes C4orf3
DZ_vitora_genes NCAPG
DZ_vitora_genes KNL1
DZ_vitora_genes H2AFV
DZ_vitora_genes CKAP2
DZ_vitora_genes GIHCG
DZ_vitora_genes PTTG1
DZ_vitora_genes AP001267.5
DZ_vitora_genes DEPDC1
DZ_vitora_genes AC026951.1
DZ_vitora_genes TYMS
DZ_vitora_genes FBXO43
DZ_vitora_genes HAUS8
DZ_vitora_genes ANKRD36
DZ_vitora_genes ANKRD36B
DZ_vitora_genes CDT1
DZ_vitora_genes ACKR4
DZ_vitora_genes ACKR4P1
DZ_vitora_genes CKS1BP2
DZ_vitora_genes CKS1BP3
DZ_vitora_genes CKS1B
DZ_vitora_genes AC087721.2
DZ_vitora_genes NUSAP1
DZ_vitora_genes PAPSS1
DZ_vitora_genes TTK
DZ_vitora_genes AICDA
DZ_vitora_genes SPAG5
DZ_vitora_genes JPT1
DZ_vitora_genes TMPO
DZ_vitora_genes KIF14
DZ_vitora_genes CDCA3
DZ_vitora_genes CDK13
DZ_vitora_genes KIF2C
DZ_vitora_genes NDC80
DZ_vitora_genes DPY19L2P2
DZ_vitora_genes TRMU
DZ_vitora_genes GTSE1
DZ_vitora_genes RPS27L
DZ_vitora_genes ANLN
DZ_vitora_genes KANK2
DZ_vitora_genes KIF22
DZ_vitora_genes CLIC4
DZ_vitora_genes NUCKS1
DZ_vitora_genes MELK
DZ_vitora_genes PSIP1
DZ_vitora_genes AURKB
DZ_vitora_genes NEK2
DZ_vitora_genes TMSB15A
DZ_vitora_genes PBK
DZ_vitora_genes TMPO-AS1
DZ_vitora_genes STMN1
DZ_vitora_genes ECT2
DZ_vitora_genes SMARCA4
DZ_vitora_genes TOP2A
DZ_vitora_genes DLGAP5
DZ_vitora_genes TPX2
DZ_vitora_genes CKAP5
DZ_vitora_genes KNSTRN
DZ_vitora_genes SGO2
DZ_vitora_genes WNT2B
DZ_vitora_genes HJURP
DZ_vitora_genes CDCA8
DZ_vitora_genes UBE2C
DZ_vitora_genes HMMR
DZ_vitora_genes UBE2SP2
DZ_vitora_genes UBE2SP1
DZ_vitora_genes UBE2S
DZ_vitora_genes FAM83D
DZ_vitora_genes H2AFVP1
DZ_vitora_genes TERF2
DZ_vitora_genes RACGAP1
DZ_vitora_genes CCNB1
DZ_vitora_genes MXD3
DZ_vitora_genes NCAPH
DZ_vitora_genes NEIL3
DZ_vitora_genes FOXM1
DZ_vitora_genes CDKN3
DZ_vitora_genes CDC20
DZ_vitora_genes PSRC1
DZ_vitora_genes TAPT1
DZ_vitora_genes ARL6IP1
DZ_vitora_genes MND1
DZ_vitora_genes AC068831.7
DZ_vitora_genes PRC1
DZ_vitora_genes PRR11
DZ_vitora_genes NUF2
DZ_vitora_genes CEP55
DZ_vitora_genes BUB1
DZ_vitora_genes CENPE
DZ_vitora_genes CCNB2
MYC_msigdb_genes AIMP2
MYC_msigdb_genes BYSL
MYC_msigdb_genes CBX3
MYC_msigdb_genes CDK4
MYC_msigdb_genes DCTPP1
MYC_msigdb_genes DDX18
MYC_msigdb_genes DUSP2
MYC_msigdb_genes EXOSC5
MYC_msigdb_genes FARSA
MYC_msigdb_genes GNL3
MYC_msigdb_genes GRWD1
MYC_msigdb_genes HK2
MYC_msigdb_genes HSPD1
MYC_msigdb_genes HSPE1
MYC_msigdb_genes IMP4
MYC_msigdb_genes IPO4
MYC_msigdb_genes LAS1L
MYC_msigdb_genes MAP3K6
MYC_msigdb_genes MCM4
MYC_msigdb_genes MCM5
MYC_msigdb_genes MPHOSPH10
MYC_msigdb_genes MRTO4
MYC_msigdb_genes MYBBP1A
MYC_msigdb_genes MYC
MYC_msigdb_genes NDUFAF4
MYC_msigdb_genes NIP7
MYC_msigdb_genes NOC4L
MYC_msigdb_genes NOLC1
MYC_msigdb_genes NOP16
MYC_msigdb_genes NOP2
MYC_msigdb_genes NOP56
MYC_msigdb_genes NPM1
MYC_msigdb_genes PA2G4
MYC_msigdb_genes PES1
MYC_msigdb_genes PHB
MYC_msigdb_genes PLK1
MYC_msigdb_genes PLK4
MYC_msigdb_genes PPAN
MYC_msigdb_genes PPRC1
MYC_msigdb_genes PRMT3
MYC_msigdb_genes PUS1
MYC_msigdb_genes RABEPK
MYC_msigdb_genes RCL1
MYC_msigdb_genes RRP12
MYC_msigdb_genes RRP9
MYC_msigdb_genes SLC19A1
MYC_msigdb_genes SLC29A2
MYC_msigdb_genes SORD
MYC_msigdb_genes SRM
MYC_msigdb_genes SUPV3L1
MYC_msigdb_genes TBRG4
MYC_msigdb_genes TCOF1
MYC_msigdb_genes TFB2M
MYC_msigdb_genes TMEM97
MYC_msigdb_genes UNG
MYC_msigdb_genes UTP20
MYC_msigdb_genes WDR43
MYC_msigdb_genes WDR74
dissociation_genes ACTG1
dissociation_genes ANKRD1
dissociation_genes ARID5A
dissociation_genes ATF3
dissociation_genes ATF4
dissociation_genes BAG3
dissociation_genes BHLHE40
dissociation_genes BRD2
dissociation_genes BTG1
dissociation_genes BTG2
dissociation_genes CCNL1
dissociation_genes CEBPB
dissociation_genes CEBPD
dissociation_genes CEBPG
dissociation_genes CSRNP1
dissociation_genes CXCL1
dissociation_genes DCN
dissociation_genes DDX3X
dissociation_genes DDX5
dissociation_genes DES
dissociation_genes DNAJA1
dissociation_genes DNAJB1
dissociation_genes DNAJB4
dissociation_genes DUSP1
dissociation_genes DUSP8
dissociation_genes EGR1
dissociation_genes EGR2
dissociation_genes EIF1
dissociation_genes EIF5
dissociation_genes ERF
dissociation_genes ERRFI1
dissociation_genes FOS
dissociation_genes FOSB
dissociation_genes FOSL2
dissociation_genes GADD45A
dissociation_genes GADD45G
dissociation_genes GCC1
dissociation_genes GEM
dissociation_genes H3F3B
dissociation_genes HIPK3
dissociation_genes HSP90AA1
dissociation_genes HSP90AB1
dissociation_genes HSPA1A
dissociation_genes HSPA1B
dissociation_genes HSPA5
dissociation_genes HSPA8
dissociation_genes HSPB1
dissociation_genes HSPE1
dissociation_genes HSPH1
dissociation_genes ID3
dissociation_genes IDI1
dissociation_genes IER2
dissociation_genes IER3
dissociation_genes IER5
dissociation_genes IFRD1
dissociation_genes IL6
dissociation_genes IRF1
dissociation_genes IRF8
dissociation_genes ITPKC
dissociation_genes JUN
dissociation_genes JUNB
dissociation_genes JUND
dissociation_genes KCNE4
dissociation_genes KLF2
dissociation_genes KLF4
dissociation_genes KLF6
dissociation_genes KLF9
dissociation_genes LITAF
dissociation_genes LMNA
dissociation_genes MAFF
dissociation_genes MAFK
dissociation_genes MCL1
dissociation_genes MIDN
dissociation_genes MIR22HG
dissociation_genes MT1
dissociation_genes MT2
dissociation_genes MYADM
dissociation_genes MYC
dissociation_genes MYD88
dissociation_genes NCKAP5L
dissociation_genes NCOA7
dissociation_genes NFKBIA
dissociation_genes NFKBIZ
dissociation_genes NOP58
dissociation_genes NPPC
dissociation_genes NR4A1
dissociation_genes ODC1
dissociation_genes OSGIN1
dissociation_genes OXNAD1
dissociation_genes PCF11
dissociation_genes PDE4B
dissociation_genes PER1
dissociation_genes PHLDA1
dissociation_genes PNP
dissociation_genes PNRC1
dissociation_genes PPP1CC
dissociation_genes PPP1R15A
dissociation_genes PXDC1
dissociation_genes RAP1B
dissociation_genes RASSF1
dissociation_genes RHOB
dissociation_genes RHOH
dissociation_genes RIPK1
dissociation_genes SAT1
dissociation_genes SBNO2
dissociation_genes SDC4
dissociation_genes SERPINE1
dissociation_genes SKIL
dissociation_genes SLC10A6
dissociation_genes SLC38A2
dissociation_genes SLC41A1
dissociation_genes SOCS3
dissociation_genes SQSTM1
dissociation_genes SRF
dissociation_genes SRSF5
dissociation_genes SRSF7
dissociation_genes STAT3
dissociation_genes TAGLN2
dissociation_genes TIPARP
dissociation_genes TNFAIP3
dissociation_genes TNFAIP6
dissociation_genes TPM3
dissociation_genes TPPP3
dissociation_genes TRA2A
dissociation_genes TRA2B
dissociation_genes TRIB1
dissociation_genes TUBB4B
dissociation_genes TUBB6
dissociation_genes UBC
dissociation_genes USP2
