"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"294"	"HLA-DQB1"	2.626	"LZ"	"211656_x_at"
"295"	"HLA-DQB1"	2.626	"LZ"	"211656_x_at"
"296"	"LOC100130744"	2.619	"LZ"	"236228_at"
"297"	"ITGB2"	2.616	"LZ"	"202803_s_at"
"298"	"RCN1"	2.615	"LZ"	"201063_at"
"299"	"CAMTA1"	2.607	"LZ"	"213268_at"
"300"	"HTR3A"	2.599	"LZ"	"216615_s_at"
"301"	"GADD45G"	2.584	"LZ"	"204121_at"
"302"	"CREM"	2.578	"LZ"	"209967_s_at"
"303"	"ESR1"	2.573	"LZ"	"205225_at"
"304"	"IL27RA"	2.571	"LZ"	"205926_at"
"305"	"IL27RA"	2.571	"LZ"	"205926_at"
"306"	"CD40"	2.567	"LZ"	"215346_at"
"307"	"SUB1"	2.564	"LZ"	"214512_s_at"
"308"	"DHRS9"	2.544	"LZ"	"219799_s_at"
"309"	"GPR183"	2.539	"LZ"	"205419_at"
"310"	"GNG8"	2.532	"LZ"	"234284_at"
"311"	"C1orf61"	2.529	"LZ"	"205103_at"
"312"	"IL4I1"	2.516	"LZ"	"230966_at"
"313"	"POU6F1"	2.491	"LZ"	"205878_at"
"314"	"PPRC1"	2.466	"LZ"	"203737_s_at"
"315"	"MAP3K8"	2.457	"LZ"	"205027_s_at"
"316"	"SYNGR3"	2.456	"LZ"	"205691_at"
"317"	"CCL3"	2.452	"LZ"	"205114_s_at"
"318"	"CCL3L1"	2.452	"LZ"	"205114_s_at"
"319"	"CCL3L3"	2.452	"LZ"	"205114_s_at"
"320"	"AC131056.2"	2.452	"LZ"	"205114_s_at"
"321"	"CCL3L1"	2.452	"LZ"	"205114_s_at"
"322"	"CCL3L3"	2.452	"LZ"	"205114_s_at"
"323"	"CCL3"	2.452	"LZ"	"205114_s_at"
"324"	"CCL3L1"	2.452	"LZ"	"205114_s_at"
"325"	"CCL3L3"	2.452	"LZ"	"205114_s_at"
"326"	"CCL3"	2.452	"LZ"	"205114_s_at"
"327"	"CCL3L1"	2.452	"LZ"	"205114_s_at"
