TF	Targets
ATF4	MRM3
ATF4	MRPS18B
ATF4	MRRF
ATF4	MSTO1
ATF4	MTHFD2
ATF4	NAMPT
ATF4	NECAP1
ATF4	NFE2L1
ATF4	NFE2L2
ATF4	NFKB2
ATF4	NKRF
ATF4	NOL10
ATF4	NRBF2
ATF4	NRROS
ATF4	OGT
ATF4	PCK2
ATF4	PDAP1
ATF4	PEF1
ATF4	PHGDH
ATF4	PMAIP1
ATF4	PPP1R11
ATF4	PPP1R15A
ATF4	PRNP
ATF4	PRR14
ATF4	PTP4A1
ATF4	PVT1
ATF4	RAD23A
ATF4	RASSF1
ATF4	RBM7
ATF4	RPF1
ATF4	RPL13
ATF4	RPL13A
ATF4	RPL23
ATF4	RPL9
ATF4	RPLP2
ATF4	RPS21
ATF4	RPS29
ATF4	RPS6KB2
ATF4	RSL24D1
ATF4	SARS
ATF4	SBDS
ATF4	SCFD1
ATF4	SECISBP2
ATF4	SESN2
ATF4	SH2B3
ATF4	SHMT2
ATF4	SLC1A5
ATF4	SLC25A39
ATF4	SLC38A2
ATF4	SLC3A2
ATF4	SLC7A1
ATF4	SNHG15
ATF4	SNHG8
ATF4	SPG21
ATF4	STS
ATF4	STX4
ATF4	STX5
ATF4	SYTL1
ATF4	TARS
ATF4	TBL1X
ATF4	TFEC
ATF4	TIMM44
ATF4	TJP1
ATF4	TMEM167B
ATF4	TMEM267
ATF4	TMUB1
ATF4	TNFRSF10B
ATF4	TOX2
ATF4	TRAF1
ATF4	TRIB3
ATF4	TSC22D2
ATF4	TTC19
ATF4	TXNL1
ATF4	UBC
ATF4	UBE2B
ATF4	UBL3
ATF4	USP14
ATF4	USP37
ATF4	WARS
ATF4	WDR82
ATF4	XAB2
ATF4	XPOT
ATF4	YARS
ATF4	YTHDF1
ATF4	ZBED3
ATF4	ZFAND2A
ATF4	ZFAS1
ATF4	ZFPL1
ATF4	ZNF354A
ATF4	ZNF771
ATF4	ZNF839
ATF4	ZSWIM7
ATF5	AARS
ATF5	AFF2
ATF5	ARID5B
ATF5	C11orf24
ATF5	CARS
ATF5	CDK2AP2
ATF5	CEBPB
ATF5	CEBPG
ATF5	CHAC1
ATF5	CRLS1
ATF5	DDIT3
ATF5	DDIT4
ATF5	EEF2
ATF5	EIF1
ATF5	ELMSAN1
ATF5	GARS
ATF5	HERPUD1
ATF5	JOSD2
ATF5	LMO2
ATF5	MIR3681HG
ATF5	NFE2L1
ATF5	PCK2
ATF5	PICALM
ATF5	PLEKHM1
ATF5	PMVK
ATF5	PPDPF
ATF5	PXK
ATF5	RBM3
ATF5	SBDS
ATF5	SH2D3C
ATF5	SHMT2
ATF5	SLC16A3
ATF5	SLC1A5
ATF5	SLC3A2
ATF5	TAF10
ATF5	TMSB4X
ATF5	TRIB3
ATF5	USP36
ATF5	WARS
ATF5	WDR4
ATF5	ZNF354A
ATF6	AAK1
ATF6	AAMP
ATF6	AARS
